input,instruction,output
"paragraph:  CHAPTER IV. \\Notwithstanding the earnest injunction that Maria had given to Mr. Delafield to continue where she left him, until her return, she expressed no surprise at not finding him in the room. The countenance of this young lady exhibited a droll mixture of playful mirth and sadness; she glanced her eyes once around the apartment, and perceiving it was occupied only by her friend, she said, laughing-- \\""Well, Charlotte, when is it to be? I think I retired in very good season."" \\""Perhaps you did, Maria,"" returned the other, without raising her face from the reflecting attitude in which she stood--""I believe it is all very well."" \\""Well! you little philosopher--I should think it was excellent--that--that is--if I were in your place. I suspected this from the moment you met."" \\""What have you suspected, Maria?--what is it you imagine has occurred?"" \\""What! why Seymour Delafield has been stammering--then he looked doleful--then he sighed--then he hemmed--then he said you were an angel--nay, you need not look prudish, and affect to deny it; he got as far as that before I left the room--then he turned to see if I were not coming back again to surprise him--then he fell on his knees--then he stretched out his handsome hand--it is too handsome for a man's hand!--and said take it, take me, take my name, and take my three hundred thousand dollars!--Now don't deny a syllable of it till I tell your answer."" \\Charlotte smiled, and taking her work, quietly seated herself at her table before she replied-- ",Answer the following question from the paragraph : Question: What emotions did she show?,mirth and sadness
"paragraph:  (CNN) -- Polk County, Florida, detectives arrested a man Tuesday in connection with the slaying of a priest in Mississippi. \\Jeremy Manieri, 31, was wanted by Waveland, Mississippi, police in connection with the Rev. Edward Everitt's death Sunday, said Donna Wood, a Polk County Sheriff's officer. \\""Mr. Manieri was one of the last people ... that we know of to see Father Everitt,"" said Waveland Police Chief James Varnell. ""We believe that his motive is robbery."" \\Everitt, 70, was found dead Monday in the Dominican Retreat house in Waveland, Varnell said. He presided over the Holy Ghost Catholic Church in Hammond, Louisiana. \\""This tragic loss of Father Ed's life leaves a deeply felt void in all our lives,"" said Bishop Robert Muench of Baton Rouge. \\Everitt was spending a few days of vacation at the Waveland house, which had been rebuilt after Hurricane Katrina, said a statement from the Southern Dominican Province, an order of friars. \\Everitt and Manieri had met two weeks before the death in Waveland. Everitt was going to hire Manieri to do a construction project there, Polk County Sheriff Grady Judd said. \\Judd said police got a ""very detailed confession"" out of Manieri upon his arrest. \\Sunday, Manieri and Everitt argued in the Waveland house, according to the confession, Judd said. Manieri found a firearm and shot Everitt twice. Manieri took Everitt's wallet and his vehicle, a 2011 silver GMC HHR, then called his ex-wife, Judd said. \\Manieri told his ex-wife he was working on an oil rig and would take her, her son and his daughter to Disney World in Florida when he got his first paycheck, Judd said. The family left Sunday night after the homicide, stopping in Mobile, Alabama, for one evening. ",Answer the following question from the paragraph : Question: What do police believe the motive to be?,robbery
"paragraph:  Malawi (, or ; or [maláwi]), officially the Republic of Malawi, is a landlocked country in southeast Africa that was formerly known as Nyasaland. It is bordered by Zambia to the northwest, Tanzania to the northeast, and Mozambique on the east, south and west. Malawi is over with an estimated population of 16,777,547 (July 2013 est.). Its capital is Lilongwe, which is also Malawi's largest city; the second largest is Blantyre, the third is Mzuzu and the fourth largest is its old capital Zomba. The name Malawi comes from the Maravi, an old name of the Nyanja people that inhabit the area. The country is also nicknamed ""The Warm Heart of Africa"". \\Malawi is among the smallest countries in Africa. Lake Malawi takes up about a third of Malawi's area. \\The area of Africa now known as Malawi was settled by migrating Bantu groups around the 10th century. Centuries later in 1891 the area was colonised by the British. In 1953 Malawi, then known as Nyasaland, a protectorate of the United Kingdom, became a protectorate within the semi-independent Federation of Rhodesia and Nyasaland. The Federation was dissolved in 1963. In 1964 the protectorate over Nyasaland was ended and Nyasaland became an independent country under Queen Elizabeth II with the new name Malawi. Two years later it became a republic. Upon gaining independence it became a one-party state under the presidency of Hastings Banda, who remained president until 1994, when he lost an election. Arthur Peter Mutharika is the current president. Malawi has a democratic, multi-party government. The country has a Malawian Defence Force that includes an army, a navy and an air wing. Malawi's foreign policy is pro-Western and includes positive diplomatic relations with most countries and participation in several international organisations, including the United Nations, the Commonwealth of Nations, the Southern African Development Community (SADC), the Common Market for Eastern and Southern Africa (COMESA), and the African Union (AU).",Answer the following question from the paragraph : Question: Is it a large country?,No
"paragraph:  CHAPTER XXXII. \\MR. GILMORE'S SUCCESS. \\Harry Gilmore, the prosperous country gentleman, the county magistrate, the man of acres, the nephew of Mr. Chamberlaine, respected by all who knew him,--with the single exception of the Marquis of Trowbridge,--was now so much reduced that he felt himself to be an inferior being to Mr. Cockey, with whom he breakfasted. He had come to Loring, and now he was there he did not know what to do with himself. He had come there, in truth, not because he really thought he could do any good, but driven out of his home by sheer misery. He was a man altogether upset, and verging on to a species of insanity. He was so uneasy in his mind that he could read nothing. He was half-ashamed of being looked at by those who knew him; and had felt some relief in the society of Mr. Cockey till Mr. Cockey had become jovial with wine, simply because Mr. Cockey was so poor a creature that he felt no fear of him. But as he had come to Loring, it was necessary that he should do something. He could not come to Loring and go back again without saying a word to anybody. Fenwick would ask him questions, and the truth would come out. There came upon him this morning an idea that he would not go back home;--that he would leave Loring and go away without giving any reason to any one. He was his own master. No one would be injured by anything that he might do. He had a right to spend his income as he pleased. Everything was distasteful that reminded him of Bullhampton. But still he knew that this was no more than a madman's idea;--that it would ill become him so to act. He had duties to perform, and he must perform them, let them be ever so distasteful. It was only an idea, made to be rejected; but, nevertheless, he thought of it. ",Answer the following question from the paragraph : Question: What reminded him of Bullhampton?,Everything
"paragraph:  CHAPTER XV--THE END OF THE MEETING \\Stephen went on in her calm, cold voice: \\'Did he tell you that I had asked him to marry me?' Despite herself, as she spoke the words a red tide dyed her face. It was not a flush; it was not a blush; it was a sort of flood which swept through her, leaving her in a few seconds whiter than before. Harold saw and understood. He could not speak; he lowered his head silently. Her eyes glittered more coldly. The madness that every human being may have once was upon her. Such a madness is destructive, and here was something more vulnerable than herself. \\'Did he tell you how I pressed him?' There was no red tide this time, nor ever again whilst the interview lasted. To bow in affirmation was insufficient; with an effort he answered: \\'I understood so.' She answered with an icy sarcasm: \\'You understood so! Oh, I don't doubt he embellished the record with some of his own pleasantries. But you understood it; and that is sufficient.' After a pause she went on: \\'Did he tell you that he had refused me?' \\'Yes!' Harold knew now that he was under the torture, and that there was no refusing. She went on, with a light laugh, which wrung his heart even more than her pain had done . . . Stephen to laugh like that! \\'And I have no doubt that he embellished that too, with some of his fine masculine witticisms. I understood myself that he was offended at my asking him. I understood it quite well; he told me so!' Then with feminine intuition she went on: ",Answer the following question from the paragraph : Question: With what?,with feminine intuition
"paragraph:  BT Group plc (trading as BT) is a holding company which owns British Telecommunications plc, a British multinational telecommunications company with head offices in London, United Kingdom. It has operations in around 180 countries and is the largest provider of fixed-line, mobile and broadband services in the UK, and also provides subscription television and IT services. \\BT's origins date back to the founding of the Electric Telegraph Company in 1846 which developed a nationwide communications network. In 1912, the General Post Office, a government department, became the monopoly telecoms supplier in the United Kingdom. The Post Office Act of 1969 led to the GPO becoming a public corporation. British Telecommunications, trading as ""British Telecom"", was formed in 1980, and became independent of the Post Office in 1981. British Telecommunications was privatised in 1984, becoming ""British Telecommunications plc"", with some 50 percent of its shares sold to investors. The Government sold its remaining stake in further share sales in 1991 and 1993. BT has a primary listing on the London Stock Exchange, a secondary listing on the New York Stock Exchange, and is a constituent of the FTSE 100 Index. \\BT controls a number of large subsidiaries. BT Global Services division supplies telecoms services to corporate and government customers worldwide, and its BT Consumer division supplies telephony, broadband, and subscription television services in Great Britain to around 18 million customers. BT announced in February 2015 that it had agreed to acquire EE for £12.5 billion, and received final regulatory approval from the Competition and Markets Authority on 15 January 2016. The transaction was completed on 29 January 2016.",Answer the following question from the paragraph : Question: When did they sell?,in 1991 and 1993
"paragraph:  Steubenville, Ohio (CNN) -- One of the teens who recorded himself mocking the girl at the center of an Ohio rape case ""did a really dumb thing and regrets it"" but did not commit any crime, his lawyer said Monday. \\The attorney, Dennis McNamara, said there was ""no excuse or justification"" for the jokes Michael Nodianos made, ""and with some sober reflection, he is ashamed and embarrassed to hear them himself."" \\""He sincerely regrets his behavior and his comments and the effect that it's had on the parties involved, including his own family,"" McNamara told reporters in Steubenville, the small Ohio town that has become the focus of national attention because of the case. ""He was not raised to act in this manner."" \\Two 16-year-old members of the town's powerhouse high school football team are charged with sexually assaulting a girl after a series of parties in August. They are set for trial in a juvenile court in February. \\McNamara said Nodianos, 18, has been interviewed by detectives ""at some length"" and is not the subject of an investigation. \\""Michael is a really good kid from a really good family who did a really dumb thing and regrets it,"" he said. ""Beyond that, he has no involvement in the criminal case or in any of the underlying activity that led to the filing of the criminal charges."" \\Defense battles social media blizzard in Ohio rape case \\The case gained national attention after The New York Times published a lengthy piece on it in December. The activist hacker group Anonymous and other critics have accused community leaders of trying to paper over rampant misconduct by football players and suggested that other students took part in the assaults or failed to do enough stop them. Anonymous helped organize a weekend protest in Steubenville that drew a crowd of hundreds to the town, a community of about 18,000 on the Ohio River across the river from West Virginia. ",Answer the following question from the paragraph : Question: Who said so?,"Steubenville,"
"paragraph:  Gymnasts sprint down a runway, which is a maximum of 25 meters in length, before hurdling onto a spring board. The gymnast is allowed to choose where they start on the runway. The body position is maintained while ""punching"" (blocking using only a shoulder movement) the vaulting platform. The gymnast then rotates to a standing position. In advanced gymnastics, multiple twists and somersaults may be added before landing. Successful vaults depend on the speed of the run, the length of the hurdle, the power the gymnast generates from the legs and shoulder girdle, the kinesthetic awareness in the air, and the speed of rotation in the case of more difficult and complex vaults. \\According to FIG rules, only women compete in rhythmic gymnastics. This is a sport that combines elements of ballet, gymnastics, dance, and apparatus manipulation. The sport involves the performance of five separate routines with the use of five apparatus; ball, ribbon, hoop, clubs, rope—on a floor area, with a much greater emphasis on the aesthetic rather than the acrobatic. There are also group routines consisting of 5 gymnasts and 5 apparatuses of their choice. Rhythmic routines are scored out of a possible 30 points; the score for artistry (choreography and music) is averaged with the score for difficulty of the moves and then added to the score for execution.",Answer the following question from the paragraph : Question: What is the maximum length of the runway for a gymnast?,25 meters
"paragraph:  (CNN) -- All Blacks captain Richie McCaw is warning his side against complacency as they go into Sunday's Rugby World Cup final against France as odds-on favorites to lift the William Webb Ellis trophy. \\While hosts New Zealand have enjoyed a relatively smooth and unbeaten passage to the finale of the global showpiece at Eden Park, France have been beaten twice and failed to hit their top form. \\But McCaw, who was left in tears as the All Blacks stumbled to a 20-18 quarterfinal defeat to the French in the 2007 World Cup, said Saturday that negative media coverage had given Les Bleus extra motivation to spring another upset. \\""I've got no doubt the French are going to play their best game and you blokes have loaded the gun for them,"" he told gathered reporters at the official press conference. \\""They've got players who've been around for a long time and they understand what it takes to win Test matches."" \\And as to France's indifferent form, including a 37-17 loss to his team and a dismal defeat against Tonga in the pool stages, McCaw believes it counts for nothing. \\""In a final it's not about who 'deserves' what,"" said McCaw. \\""It's about who goes and plays the best rugby on that stage, in this game, that's what we've got to do."" \\The All Blacks, the traditional powerhouses of international rugby, are searching for only a second World Cup triumph, their only title coming in the inaugural tournament in 1987 when they beat France in the final in Auckland. ",Answer the following question from the paragraph : Question: was it positive coverage?,no
"paragraph:  (CNN) -- A family is grieving and a Michigan community is in shock after a 9-year-old boy was stabbed to death at a playground in his neighborhood this week. \\The shock felt in Kentwood, just outside of Grand Rapids, is as much over the sudden and senseless loss of Michael Conner Verkerke as it is over the circumstances of his death: The person accused of stabbing him was a 12-year-old he had just met at the playground. \\Conner was playing with three other children Monday ""when one of the children, for an unknown reason, pulled out a knife and repeatedly stabbed one of the other children,"" a Kentwood Police Department statement said. \\Police say the attacker is 12-year-old Jamarion Lawhorn. A motive, if there is one, is unknown at this point, as the boys were not acquainted, according to Kent County Prosecutor Chris Becker. \\Lawhorn was charged Tuesday with murder. Though he'll be tried in a juvenile court, it will be as an adult, according to Becker, who added that his office has not yet decided whether the murder charges will be first or second degree. \\Charles Boekeloo, Lawhorn's court-appointed attorney, said he met his client for the first time at his arraignment Tuesday but had no further comment. Boekeloo entered a not guilty plea on the youth's behalf. \\Police said that after he was stabbed, Conner managed to run back home before he collapsed on the porch. An ambulance rushed him to a hospital, where he died Monday night. \\Lawhorn, meanwhile, ""left the playground then went to a nearby residence where he asked to use the phone,"" Kentwood Chief of Police Thomas Hillen said. ",Answer the following question from the paragraph : Question: When was Lawhorn charged?,Tuesday.
