input,instruction,span_start,span_end,span_text,output
,What was it?,730.0,0.0,"Euclid set forth the first great landmark of mathematical thought, an axiomatic treatment of geometry",an axiomatic treatment of geometry
,What type of cake?,193.0,0.0,chocolate,chocolate
,who released it?,366.0,418.0,"Human Rights Watch said in a 200-plus page report. 
",Human Rights Watch
,What are Michael's?,946.0,1005.0,"Michael likes books about dinosaurs, cowboys, and fireworks","dinosaurs, cowboys, and fireworks"
,What is something he'd done for his brother-in-law?,1721.0,1789.0,the adjutant had pulled his brother-in-law out of many a difficulty;,Pulled him out of many a difficulty.
,Who else has a meaning for it?,0.0,702.0,0,The Food and Agriculture Organization
,What was her name?,168.0,0.0,Her mother is named June,June
,What kind of animal was Peter?,245.0,251.0,0,Rabbit
,do some scholars see war as a part of human nature?,497.0,570.0,some scholars see war as a universal and ancestral aspect of human nature,Yes
,And who did that belong to?,224.0,277.0,"They owned the planet the farm was on, called Etopit.",the squirrels
,What does it translate to in English?,299.0,307.0,district,district
,What is her friend's name?,412.0,428.0,"""Well, Charlotte",Charlotte
,For what?,217.0,303.0,Infrared astronomy uses sensor-equipped telescopes to penetrate dusty regions of space,to penetrate dusty regions of space
,By who?,714.0,729.0,0,Jennifer Ulwick
,Was it expected?,-1.0,-1.0,unknown,unknown
,What genre do they specialize in?,291.0,325.0,"specializing in jazz, R&B and soul","jazz, R&B and soul"
,What position is Mario Balotelli in to become an idolized figure at Anfield?,58.0,0.0,0,striker
,What happened in 1971?,0.0,951.0," In 1971, Hostetler retired",Hostetler retired
,What motivated Julie Aigner-Clark to produce educational materials for her newborn daughter?,292.0,297.0,0,disappointing hole in the baby market
,What is another system it has helped flourish?,885.0,890.0,Linux,Linux
,What new thought struck Dave when he heard a locomotive whistle?,356.0,361.0,a new thought struck him .,a new thought struck him .
,Who had told a narration?,39.0,67.0,'SUCH was Ritter's narrative,Ritter
,What is the name of the federal city of Switzerland?,82.0,82.0,bern,bern
,what was he trying to distant his party from?,0.0,820.0,to distance it from previous Labour policies,previous Labour policies
,What religion?,1024.0,0.0,0,Buddhism
,Who was Williams and what was his role in the gambling hall?,248.0,258.0,"kept corresponding "" lookout "" over the dealers and the crowd","kept corresponding "" lookout "" over the dealers and the crowd"
,Who went to get them?,49.0,98.0,Captain Marrable was called up to town by letters,Captain Marrable
,Was it a book?,701.0,726.0,Richard Yates' 1961 novel,Yes
,Where is he now?,34.0,97.0,Warren Jeffs remained in critical condition in a Texas hospital,a hospital
,Why did he say he was?,1081.0,0.0,"""I'm crying because--because my Aunt Jane is dead,"" said Peter defiantly. ",his Aunt Jane was dead
,Whose sibling is that?,482.0,512.0, answered the youngest Rover. ,Rover.
